,country,year,population,gdp,co2,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,consumption_co2
2383,Argentina,1970,23842804.0,278897360896.0,82.648,37.761,1599.024,9757.542,374.584,13.66,108.778,8743.33,1064.241,0.0,0.0
2384,Argentina,1971,24223380.0,292438867968.0,88.847,40.497,1687.871,9934.362,377.511,16.503,119.8,8831.303,1133.56,0.0,0.0
2385,Argentina,1972,24612798.0,301570162688.0,90.067,43.195,1777.938,10095.401,380.369,19.247,132.268,8902.274,1202.857,0.0,0.0
2386,Argentina,1973,25020592.0,319937937408.0,93.976,45.766,1871.914,10248.551,383.249,22.376,146.455,8961.448,1274.067,0.0,0.0
2387,Argentina,1974,25449752.0,340686405632.0,95.481,48.441,1967.394,10395.987,386.616,25.439,161.379,9013.403,1345.519,0.0,0.0
2388,Argentina,1975,25875562.0,337656020992.0,94.846,51.155,2062.24,10536.449,390.211,29.342,177.101,9059.02,1414.431,0.0,0.0
2389,Argentina,1976,26290258.0,336841146368.0,99.7,53.997,2161.939,10676.599,393.45,34.625,193.568,9099.471,1486.3,0.0,0.0
2390,Argentina,1977,26713780.0,357157961728.0,100.706,56.984,2262.646,10814.531,396.154,40.033,210.473,9136.697,1559.002,0.0,0.0
2391,Argentina,1978,27146124.0,341466742784.0,102.556,60.133,2365.202,10950.32,399.986,46.284,226.898,9169.929,1631.901,0.0,0.0
2392,Argentina,1979,27584138.0,365906460672.0,110.617,63.46,2475.819,11091.386,403.588,52.883,244.914,9200.377,1710.973,0.0,0.0
2393,Argentina,1980,28024808.0,371076956160.0,108.657,67.023,2584.476,11228.95,406.453,59.038,264.48,9229.286,1787.481,0.0,0.0
2394,Argentina,1981,28471284.0,349782016000.0,101.969,70.346,2686.445,11428.786,409.41,64.183,284.966,9327.152,1857.541,0.0,0.0
2395,Argentina,1982,28922768.0,338761515008.0,103.352,73.162,2789.797,11592.96,412.07,69.778,308.214,9387.974,1926.573,0.0,0.0
2396,Argentina,1983,29377144.0,350706597888.0,105.143,75.98,2894.94,11744.819,414.261,74.973,334.478,9434.69,1995.247,0.0,0.0
2397,Argentina,1984,29832200.0,357844353024.0,106.453,78.598,3001.392,11889.487,416.409,82.122,361.779,9472.905,2062.484,0.0,0.0
2398,Argentina,1985,30287120.0,334171439104.0,100.532,80.924,3101.924,12022.299,419.182,88.31,390.588,9505.186,2122.919,0.0,0.0
2399,Argentina,1986,30748332.0,358634684416.0,104.151,83.714,3206.075,12150.303,422.575,93.114,421.553,9529.038,2185.12,0.0,0.0
2400,Argentina,1987,31216450.0,367893610496.0,114.878,86.885,3320.954,12277.858,426.353,97.892,458.251,9541.716,2251.573,0.0,0.0
2401,Argentina,1988,31690790.0,360921169920.0,121.406,89.932,3442.36,12418.61,430.376,103.762,500.484,9561.062,2317.806,0.0,0.0
2402,Argentina,1989,32165770.0,338520801280.0,117.021,92.186,3559.381,12559.008,434.52,110.023,545.093,9584.438,2377.559,0.0,0.0
2403,Argentina,1990,32637658.0,338751160320.0,112.079,94.008,3671.46,12697.284,437.59,114.808,588.306,9610.635,2436.747,0.0,112.045
2404,Argentina,1991,33105766.0,376057921536.0,117.506,96.204,3788.966,12885.872,440.28,118.912,635.59,9681.717,2497.98,0.0,120.502
