,country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share,lon,lat
0,Argentina,1970,ARG,23842804.0,278897360896.0,2.344,0.098,82.648,5.399,6.989,199.603,-50.807,-20.289,8.372,0.716,0.565,3.466,0.296,0.234,3.287,0.138,,,,37.761,1599.024,9757.542,374.584,13.66,108.778,8743.33,1064.241,,14825.144,1.267,2.81,0.118,10.281,0.431,,,116.955,4.905,,,,,63.926,2.681,,,353.473,0.813,0.555,1.024,0.058,0.887,0.377,1.065,0.127,0.535,0.455,1.761,1.08,,1.012,0.574,2.543,0.94,,1.67,0.004,0.006,0.01,0.0,,,,,-63.616672,-38.416097
1,Argentina,1971,ARG,24223380.0,292438867968.0,2.736,0.113,88.847,6.199,7.501,176.82,-22.783,-11.414,7.3,0.605,0.472,3.668,0.304,0.237,2.928,0.121,,,,40.497,1687.871,9934.362,377.511,16.503,119.8,8831.303,1133.56,,15469.695,1.281,2.843,0.117,11.021,0.455,,,87.973,3.632,,,,,69.319,2.862,,,374.728,0.902,0.573,0.88,0.051,0.888,0.384,1.061,0.126,0.574,0.464,1.762,1.072,,0.885,0.57,1.918,0.962,,1.654,0.004,0.006,0.011,0.0,,,,,-63.616672,-38.416097
2,Argentina,1972,ARG,24612798.0,301570162688.0,2.699,0.11,90.067,1.22,1.373,161.038,-15.781,-8.925,6.543,0.534,0.424,3.659,0.299,0.237,2.858,0.116,,,,43.195,1777.938,10095.401,380.369,19.247,132.268,8902.274,1202.857,,15416.149,1.258,2.744,0.112,12.469,0.507,,,70.972,2.884,,,,,69.297,2.815,,,379.435,0.839,0.555,0.774,0.05,0.884,0.39,1.055,0.124,0.598,0.475,1.761,1.059,,0.791,0.608,1.546,0.892,,1.639,0.004,0.006,0.011,0.0,,,,,-63.616672,-38.416097
3,Argentina,1973,ARG,25020592.0,319937937408.0,2.57,0.103,93.976,3.909,4.34,153.15,-7.889,-4.899,6.121,0.479,0.386,3.756,0.294,0.237,2.88,0.115,,,,45.766,1871.914,10248.551,383.249,22.376,146.455,8961.448,1274.067,,15846.863,1.239,3.129,0.125,14.187,0.567,,,59.174,2.365,,,,,71.21,2.846,,,396.498,0.755,0.55,0.711,0.049,0.876,0.395,1.047,0.123,0.618,0.487,1.757,1.046,,0.778,0.644,1.33,0.866,,1.623,0.004,0.006,0.011,0.0,,,,,-63.616672,-38.416097
4,Argentina,1974,ARG,25449752.0,340686405632.0,2.675,0.105,95.481,1.505,1.601,147.436,-5.714,-3.731,5.793,0.433,0.358,3.752,0.28,0.232,3.367,0.132,,,,48.441,1967.394,10395.987,386.616,25.439,161.379,9013.403,1345.519,,16198.629,1.21,3.063,0.12,14.923,0.586,,,51.956,2.041,,,,,71.452,2.808,,,412.251,0.784,0.561,0.691,0.057,0.87,0.401,1.039,0.122,0.634,0.499,1.752,1.036,,0.783,0.661,1.202,0.881,,1.608,0.004,0.006,0.011,0.0,,,,,-63.616672,-38.416097
5,Argentina,1975,ARG,25875562.0,337656020992.0,2.715,0.105,94.846,-0.635,-0.665,140.463,-6.974,-4.73,5.428,0.416,0.349,3.665,0.281,0.235,3.594,0.139,,,,51.155,2062.24,10536.449,390.211,29.342,177.101,9059.02,1414.431,,15575.027,1.194,3.902,0.151,15.722,0.608,,,45.617,1.763,,,,,68.913,2.663,,,403.013,0.8,0.556,0.656,0.06,0.866,0.406,1.031,0.121,0.674,0.512,1.746,1.026,,1.159,0.697,1.044,0.857,,1.594,0.004,0.006,0.011,0.0,,,,,-63.616672,-38.416097
6,Argentina,1976,ARG,26290258.0,336841146368.0,2.842,0.108,99.7,4.854,5.118,140.15,-0.312,-0.222,5.331,0.416,0.332,3.792,0.296,0.236,3.239,0.123,,,,53.997,2161.939,10676.599,393.45,34.625,193.568,9099.471,1486.3,,16077.203,1.255,5.284,0.201,16.467,0.626,,,40.451,1.539,,,,,71.868,2.734,,,422.674,0.802,0.554,0.629,0.052,0.863,0.412,1.023,0.119,0.73,0.523,1.739,1.015,,1.336,0.69,0.94,0.841,,1.58,0.005,0.006,0.011,0.0,,,,,-63.616672,-38.416097
7,Argentina,1977,ARG,26713780.0,357157961728.0,2.987,0.112,100.706,1.007,1.01,137.933,-2.218,-1.582,5.163,0.386,0.312,3.77,0.282,0.228,2.704,0.101,,,,56.984,2262.646,10814.531,396.154,40.033,210.473,9136.697,1559.002,,16524.49,1.236,5.408,0.202,16.905,0.633,,,37.226,1.394,,,,,72.702,2.722,,,441.432,0.806,0.544,0.602,0.042,0.86,0.416,1.014,0.118,0.781,0.534,1.732,1.004,,1.418,0.693,0.845,0.822,,1.566,0.005,0.006,0.012,0.001,,,,,-63.616672,-38.416097
8,Argentina,1978,ARG,27146124.0,341466742784.0,3.148,0.116,102.556,1.85,1.837,135.789,-2.144,-1.554,5.002,0.398,0.307,3.778,0.3,0.232,3.833,0.141,,,,60.133,2365.202,10950.32,399.986,46.284,226.898,9169.929,1631.901,,16285.452,1.295,6.251,0.23,16.426,0.605,,,33.232,1.224,,,,,72.899,2.685,,,442.087,0.798,0.538,0.583,0.059,0.856,0.42,1.004,0.117,0.839,0.541,1.725,0.992,,1.602,0.644,0.787,0.796,,1.552,0.005,0.007,0.012,0.001,,,,,-63.616672,-38.416097
9,Argentina,1979,ARG,27584138.0,365906460672.0,3.328,0.121,110.617,8.061,7.86,141.065,5.276,3.885,5.114,0.386,0.297,4.01,0.302,0.233,3.602,0.131,,,,63.46,2475.819,11091.386,403.588,52.883,244.914,9200.377,1710.973,,17209.025,1.297,6.599,0.239,18.016,0.653,,,30.448,1.104,,,,,79.073,2.867,,,474.696,0.832,0.564,0.596,0.053,0.855,0.425,0.996,0.115,0.9,0.548,1.717,0.985,,1.832,0.67,0.75,0.852,,1.537,0.005,0.007,0.012,0.001,,,,,-63.616672,-38.416097
