,country,year,share_of_temperature_change_from_ghg,total_ghg,temperature_change_from_ghg
2403,Argentina,1990,1.39,292.65,0.013
2404,Argentina,1991,1.379,297.07,0.013
2405,Argentina,1992,1.369,301.59,0.014
2406,Argentina,1993,1.359,302.16,0.014
2407,Argentina,1994,1.349,305.55,0.014
2408,Argentina,1995,1.339,308.14,0.014
2409,Argentina,1996,1.329,319.3,0.014
2410,Argentina,1997,1.317,324.7,0.014
2411,Argentina,1998,1.308,330.05,0.014
2412,Argentina,1999,1.3,337.78,0.015
2413,Argentina,2000,1.292,337.38,0.015
2414,Argentina,2001,1.285,379.26,0.015
2415,Argentina,2002,1.279,375.63,0.015
2416,Argentina,2003,1.275,397.87,0.015
2417,Argentina,2004,1.274,414.15,0.015
2418,Argentina,2005,1.273,418.09,0.016
2419,Argentina,2006,1.272,432.56,0.016
2420,Argentina,2007,1.269,445.1,0.016
2421,Argentina,2008,1.265,449.64,0.016
2422,Argentina,2009,1.263,429.32,0.017
2423,Argentina,2010,1.258,434.83,0.017
2424,Argentina,2011,1.251,416.09,0.017
2425,Argentina,2012,1.244,421.2,0.017
2426,Argentina,2013,1.235,431.0,0.017
2427,Argentina,2014,1.226,428.81,0.018
2428,Argentina,2015,1.217,435.81,0.018
2429,Argentina,2016,1.209,403.23,0.018
2430,Argentina,2017,1.201,407.58,0.018
2431,Argentina,2018,1.192,404.95,0.018
2432,Argentina,2019,1.181,398.91,0.018
3738,Australia,1990,1.772,541.39,0.017
3739,Australia,1991,1.764,541.38,0.017
3740,Australia,1992,1.754,542.04,0.017
3741,Australia,1993,1.747,544.2,0.018
3742,Australia,1994,1.739,550.17,0.018
3743,Australia,1995,1.732,557.98,0.018
3744,Australia,1996,1.721,557.47,0.018
3745,Australia,1997,1.71,566.85,0.018
3746,Australia,1998,1.707,593.84,0.019
3747,Australia,1999,1.704,632.75,0.019
3748,Australia,2000,1.704,650.73,0.019
3749,Australia,2001,1.709,656.39,0.02
3750,Australia,2002,1.708,652.95,0.02
3751,Australia,2003,1.701,576.25,0.02
3752,Australia,2004,1.698,627.56,0.021
3753,Australia,2005,1.686,590.44,0.021
3754,Australia,2006,1.679,638.32,0.021
3755,Australia,2007,1.673,637.94,0.021
3756,Australia,2008,1.667,608.78,0.022
3757,Australia,2009,1.659,626.33,0.022
3758,Australia,2010,1.652,596.36,0.022
3759,Australia,2011,1.651,639.95,0.023
3760,Australia,2012,1.647,639.63,0.023
3761,Australia,2013,1.635,554.25,0.023
3762,Australia,2014,1.624,569.98,0.023
3763,Australia,2015,1.613,568.87,0.024
3764,Australia,2016,1.602,578.39,0.024
3765,Australia,2017,1.593,626.56,0.024
3766,Australia,2018,1.583,621.28,0.024
3767,Australia,2019,1.568,608.49,0.024
6722,Brazil,1990,4.297,1638.68,0.041
6723,Brazil,1991,4.326,1659.83,0.042
6724,Brazil,1992,4.359,1669.79,0.043
6725,Brazil,1993,4.394,1681.12,0.044
6726,Brazil,1994,4.435,1697.94,0.046
6727,Brazil,1995,4.476,1724.55,0.047
6728,Brazil,1996,4.507,1729.84,0.048
6729,Brazil,1997,4.538,1761.29,0.049
6730,Brazil,1998,4.58,1796.63,0.05
6731,Brazil,1999,4.622,1807.27,0.052
6732,Brazil,2000,4.656,1809.18,0.053
6733,Brazil,2001,4.689,1897.8,0.054
6734,Brazil,2002,4.725,1932.79,0.055
6735,Brazil,2003,4.775,1946.72,0.057
6736,Brazil,2004,4.818,1993.39,0.058
6737,Brazil,2005,4.853,2006.42,0.06
6738,Brazil,2006,4.878,1998.22,0.061
6739,Brazil,2007,4.897,2032.89,0.063
6740,Brazil,2008,4.911,2036.17,0.064
6741,Brazil,2009,4.921,2009.23,0.065
6742,Brazil,2010,4.929,2109.66,0.066
6743,Brazil,2011,4.93,1276.46,0.067
6744,Brazil,2012,4.929,1319.48,0.069
6745,Brazil,2013,4.929,1344.89,0.07
6746,Brazil,2014,4.928,1384.99,0.071
6747,Brazil,2015,4.926,1366.89,0.072
6748,Brazil,2016,4.923,1455.86,0.073
6749,Brazil,2017,4.916,1475.82,0.074
6750,Brazil,2018,4.903,1434.51,0.075
6751,Brazil,2019,4.894,1451.63,0.076
